Rank,Title,Inflation,Lifetime Gross,Est. Num Tickets,Released,Genre
1,Gone with the Wind,1895421694,200852579,"202,286,200",1939,Drama
2,Star Wars: Episode IV - A New Hope,1668979715,460998507,"178,119,500",1977,Sci-Fi
3,The Sound of Music,1335086324,159287539,"142,485,200",1965,Drama
4,E.T. the Extra-Terrestrial,1329174791,435110554,"141,854,300",1982,Sci-Fi
5,Titanic,1270101626,659363944,"135,549,800",1997,Drama
6,The Ten Commandments,1227470000,65500000,"131,000,000",1956,Drama
7,Jaws,1200098356,260000000,"128,078,800",1975,Sci-Fi
8,Doctor Zhivago,1163149635,111721910,"124,135,500",1965,Thriller
9,The Exorcist,1036314504,232906145,"110,599,200",1973,Thriller
10,Snow White and the Seven Dwarfs,1021330000,184925486,"109,000,000",1937,Thriller
11,Star Wars: Episode VII - The Force Awakens,1013038487,936662225,"108,115,100",2015,Sci-Fi
12,One Hundred and One Dalmatians,936225101,144880014,"99,917,300",1961,Thriller
13,Star Wars: Episode V - The Empire Strikes Back,919244787,290271960,"98,105,100",1980,Sci-Fi
14,Ben-Hur,918699453,74422622,"98,046,900",1959,War
15,Avatar,911790952,760507625,"97,309,600",2009,Sci-Fi
16,Avengers: Endgame,892669593,858373000,"95,268,900",2019,Superhero
17,Star Wars: Episode VI - Return of the Jedi,881336578,309306177,"94,059,400",1983,Sci-Fi
18,Jurassic Park,858893554,402828120,"91,664,200",1993,Sci-Fi
19,Star Wars: Episode I - The Phantom Menace,846224377,474544677,"90,312,100",1999,Sci-Fi
20,The Lion King,835301768,422783777,"89,146,400",1994,Thriller
21,The Sting,835268973,156000000,"89,142,900",1973,Thriller
22,Raiders of the Lost Ark,829651658,248159971,"88,543,400",1981,Thriller
23,The Graduate,801854616,104945305,"85,576,800",1967,Thriller
24,Fantasia,778117595,76408097,"83,043,500",1941,Drama
25,The Godfather,739503825,134966411,"78,922,500",1972,Thriller
26,Forrest Gump,736829627,330455270,"78,637,100",1994,War
27,Mary Poppins,732563466,102272727,"78,181,800",1964,Drama
28,Grease,722413882,189969103,"77,098,600",1978,Thriller
29,The Avengers,720376844,623357910,"76,881,200",2012,Superhero
30,Jurassic World,719518552,652270625,"76,789,600",2015,Sci-Fi
31,Black Panther,714671451,700059566,"76,272,300",2018,Superhero
32,Thunderball,700876000,63595658,"74,800,000",1965,Thriller
33,The Dark Knight,698121220,535234033,"74,506,000",2008,Superhero
